CR_REGION,NOMBRE_REGION,CR_TIENDA,NOMBRE_TIENDA
10CAN,Yucatan,50DUQ,Bogota CUN
10CAN,Yucatan,50DV3,Prepa 2 MID
10CAN,Yucatan,50DW1,Hospitalia CUN
10CAN,Yucatan,50DX8,La Joya MID
10CAN,Yucatan,50DY1,Tikinxik CUN
10CAN,Yucatan,50DZY,Americas DZITYA MID
10CAN,Yucatan,50E3H,Musa CUN
10CAN,Yucatan,50E3W,Savona CUN
10CAN,Yucatan,50E5A,86 Sur CUN
10CAN,Yucatan,50E5Y,Arcos Paraiso CUN
10CAN,Yucatan,50E6S,Aldea Zama CUN
10CAN,Yucatan,50E6V,Oficinas Independencia MID
10CAN,Yucatan,50E84,Justo Sierra MID
10CAN,Yucatan,50E8R,Cristal
10CAN,Yucatan,50E8Z,Tixcogas CUN
10CAN,Yucatan,50E9D,Kings CUN
10CAN,Yucatan,50EA7,La Ceiba MID
10CAN,Yucatan,50EAB,Escala MID
10CAN,Yucatan,50EAY,Correos MID
10CAN,Yucatan,50EAZ,Itzaes MID
10CAN,Yucatan,50EBF,Bacalar CUN
10CAN,Yucatan,50EBI,Leona Vicario CUN
10CAN,Yucatan,50EFR,El Faro CUN
10CAN,Yucatan,50EFU,Castellana MID
10CAN,Yucatan,50EGK,Cinco Calles CUN
10CAN,Yucatan,50EGP,Carranza CUN
10CAN,Yucatan,50EGQ,Obregon CUN
10CAN,Yucatan,50EGS,Pioneros CUN
10CAN,Yucatan,50EGW,Maestros CUN
10CAN,Yucatan,50EGZ,Flamingos CUN
10CAN,Yucatan,50EHI,Royal CUN
10CAN,Yucatan,50EHP,Bachilleres CUN
10CAN,Yucatan,50EI3,Xcacel CUN
10CAN,Yucatan,50EIL,10 de Abril CUN
10CAN,Yucatan,50EJ8,Vizcaya CUN
10CAN,Yucatan,50EJO,Paseo del MontejoMID
10CAN,Yucatan,50EKR,San Jorge MID
10CAN,Yucatan,50EL7,Del Marques MID
10CAN,Yucatan,50ELP,Palmaris CUN
10CAN,Yucatan,50EMJ,Carrillon MID
10CAN,Yucatan,50EN9,Sak Ya CUN
10CAN,Yucatan,50EP0,Eucalipto CUN
10CAN,Yucatan,50EP5,Autopista 180D CUN
10CAN,Yucatan,50ERF,Villas Otoch CUN
10CAN,Yucatan,50ESS,La esperanza MID
10CAN,Yucatan,50ET8,Cardenales MID
10CAN,Yucatan,50ET9,Frambuesa CUN
10CAN,Yucatan,50ETM,Campesino CUN
10CAN,Yucatan,50ETN,Monte Piedad MID
10CAN,Yucatan,50EUJ,Margaritas CUN
10CAN,Yucatan,50EW1,Fenix del Sur CUN
10CAN,Yucatan,50EWR,ESMERALDA CUN
10CAN,Yucatan,50EX8,Pomuch MID
10CAN,Yucatan,50EXR,Tres Estrellas MEX
10CAN,Yucatan,50EY4,Diego Cutz CUN
10CAN,Yucatan,50EYT,Cecyte CUN
